week,region,family,sales,quantity
2016-12-30,1,Coffee drinks,215836,4129
2016-12-30,1,Bottled drinks,142816,6365
2016-12-30,1,Combos,8935500,65270
2016-12-30,1,Popcorn,1662221,29960
2016-12-30,1,Other families,4381822,112221
2016-12-30,2,Coffee drinks,116862,2263
2016-12-30,2,Bottled drinks,116180,5178
2016-12-30,2,Combos,6743582,47880
2016-12-30,2,Popcorn,985648,18218
2016-12-30,2,Other families,3667898,82825
2016-12-30,3,Coffee drinks,196427,3660
2016-12-30,3,Bottled drinks,139875,6074
2016-12-30,3,Combos,6985585,48958
2016-12-30,3,Popcorn,1310046,23387
2016-12-30,3,Other families,4617595,97954
2016-12-30,4,Coffee drinks,168158,3312
2016-12-30,4,Bottled drinks,155894,7218
2016-12-30,4,Combos,9639743,70979
2016-12-30,4,Popcorn,1585917,29841
2016-12-30,4,Other families,5297449,125759
2017-01-06,1,Coffee drinks,272207,5216
2017-01-06,1,Bottled drinks,194761,8691
2017-01-06,1,Combos,10065359,70318
2017-01-06,1,Popcorn,2241904,40922
2017-01-06,1,Other families,5651111,150331
2017-01-06,2,Coffee drinks,184917,3565
2017-01-06,2,Bottled drinks,141880,6375
2017-01-06,2,Combos,6872087,47495
2017-01-06,2,Popcorn,1222944,22845
2017-01-06,2,Other families,4328650,101714
2017-01-06,3,Coffee drinks,289826,5429
2017-01-06,3,Bottled drinks,188818,8353
2017-01-06,3,Combos,8244121,55045
2017-01-06,3,Popcorn,1794487,32370
2017-01-06,3,Other families,6394014,139318
2017-01-06,4,Coffee drinks,275693,5352
2017-01-06,4,Bottled drinks,185354,8644
2017-01-06,4,Combos,10072798,71077
2017-01-06,4,Popcorn,2082418,39488
2017-01-06,4,Other families,6470222,158620
2017-01-13,1,Coffee drinks,291664,5610
2017-01-13,1,Bottled drinks,178716,8033
2017-01-13,1,Combos,8742030,62538
2017-01-13,1,Popcorn,2069473,37744
2017-01-13,1,Other families,5111534,138184
2017-01-13,2,Coffee drinks,154292,2957
2017-01-13,2,Bottled drinks,131938,5928
2017-01-13,2,Combos,5945751,41947
2017-01-13,2,Popcorn,1119174,20862
2017-01-13,2,Other families,4061706,92844
2017-01-13,3,Coffee drinks,278298,5223
2017-01-13,3,Bottled drinks,180346,7875
2017-01-13,3,Combos,6904254,47569
2017-01-13,3,Popcorn,1649142,29926
2017-01-13,3,Other families,5753700,127937
2017-01-13,4,Coffee drinks,234763,4655
2017-01-13,4,Bottled drinks,177570,8397
2017-01-13,4,Combos,8678463,63052
2017-01-13,4,Popcorn,1891569,35951
2017-01-13,4,Other families,6100040,147562
2017-01-20,1,Coffee drinks,292158,5592
2017-01-20,1,Bottled drinks,175204,7838
2017-01-20,1,Combos,8418968,60789
2017-01-20,1,Popcorn,2000368,36454
2017-01-20,1,Other families,4887277,131490
2017-01-20,2,Coffee drinks,131522,2588
2017-01-20,2,Bottled drinks,138777,6196
2017-01-20,2,Combos,5847070,41644
2017-01-20,2,Popcorn,1072703,20057
2017-01-20,2,Other families,4027762,92245
2017-01-20,3,Coffee drinks,257592,4864
2017-01-20,3,Bottled drinks,181098,7987
2017-01-20,3,Combos,7036143,48975
